tr,country,name,germany,Q2a,Q3a,eu1,eu2,eu3,eu4,imm1,imm2,imm3,imm4,imm5,imm6,ref1,male,age,edu,income,unemployed,lrscale,eu_best,eu_worst
0,0,United Kingdom,,14,12,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,23,4,1,1,3,,None
0,0,United Kingdom,,1,3,0.5,0,0,0,0.5,0.25,0.25,0.5,0.25,0.5,1,0,37,6,7,0,8,"Peace on the 
 European continent",Mass immigration
0,0,United Kingdom,,14,3,0,0,0.5,0.5,0,0,0,0.5,0,0,0,1,41,,5,0,5,,Mass immigration
0,0,United Kingdom,,3,3,0,0,0.5,0.75,0.75,0.5,0.25,0.25,0,0,0,1,36,6,5,0,7,The EU single market,Mass immigration
0,0,United Kingdom,,1,5,0.5,0.25,0.5,0.75,0.75,1,0.75,0.75,1,1,1,1,59,6,3,0,3,"Peace on the 
 European continent",The Euro single currency
0,0,United Kingdom,,14,3,0,0,0.5,0.5,0.5,0.5,1,0.25,0.5,0,0.25,0,21,3,5,0,10,,Mass immigration
0,0,United Kingdom,,14,8,0,0,0.25,0.5,0.25,0,0,0,0.25,0,0,0,72,5,3,0,8,,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,14,2,0,0,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0,51,3,5,0,5,,Loss of national sovereignty
0,0,United Kingdom,,1,6,1,1,0,0.75,0.75,0.25,0.75,0,0,0.25,0.75,0,38,5,2,0,8,"Peace on the 
 European continent",The refugee crisis
0,0,United Kingdom,,3,8,0,0,0.25,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,49,7,4,0,4,The EU single market,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,4,3,0.5,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0,0,0.25,0,52,3,5,0,5,"Freedom to live and 
 work across the EU",Mass immigration
0,0,United Kingdom,,3,6,0,0,0.25,0.25,0.5,0.75,0.5,0.5,0.25,0.5,0.5,0,67,6,3,0,6,The EU single market,The refugee crisis
0,0,United Kingdom,,11,3,0,1,0,0,0.5,1,0.75,0.75,0.75,0.25,0.5,0,42,6,5,1,4,Protection of workers' rights,Mass immigration
0,0,United Kingdom,,1,5,0,0,0.5,0.5,0.75,0.75,0.75,0.5,0,0.5,0.5,1,74,6,5,0,5,"Peace on the 
 European continent",The Euro single currency
0,0,United Kingdom,,14,2,0,0,0,0,0,0.5,0,0.25,0,0,0,1,71,2,2,0,5,,Loss of national sovereignty
0,0,United Kingdom,,8,3,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5,1,20,2,1,0,4,A European identity,Mass immigration
0,0,United Kingdom,,1,3,0,0,0,0.5,0.5,0.25,0.5,0,0,0,0.5,0,63,6,5,0,7,"Peace on the 
 European continent",Mass immigration
0,0,United Kingdom,,14,3,0,0.5,0.5,0.25,0.75,0.5,0.5,0.75,0.75,0.5,0.25,0,33,7,3,0,5,,Mass immigration
0,0,United Kingdom,,14,12,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0,43,1,2,1,5,,None
0,0,United Kingdom,,11,3,0,0.5,0.75,0.5,0.25,0.25,0.5,0.25,0.5,0.25,0.5,0,51,3,3,0,5,Protection of workers' rights,Mass immigration
0,0,United Kingdom,,4,5,0.5,0.25,0.5,0.25,1,1,1,1,0.5,1,1,1,69,6,8,0,3,"Freedom to live and 
 work across the EU",The Euro single currency
0,0,United Kingdom,,1,8,0,0,0.25,0.75,0.5,0.5,0.5,0.25,0.25,0.25,0.75,1,58,2,5,0,4,"Peace on the 
 European continent","Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,14,5,0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,1,67,3,3,0,6,,The Euro single currency
0,0,United Kingdom,,14,8,0,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.25,0.5,0.5,1,45,3,4,0,5,,"Bureaucracy and 
 excessive regulation"
0,0,United Kingdom,,13,2,0,0,0,0,0.75,0.5,0.75,0.5,0,0.25,0.25,0,38,6,2,0,5,,Loss of national sovereignty
0,0,United Kingdom,,1,12,0.5,0.75,1,0.75,1,1,1,1,0.75,1,1,0,65,7,7,0,2,"Peace on the 
 European continent",None
0,0,United Kingdom,,2,2,0,0,0,0.5,0.25,0.5,0.75,0.5,0.75,0.5,0.5,1,67,6,4,0,6,Protection of the environment,Loss of national sovereignty
0,0,United Kingdom,,6,3,0,0.75,0.25,0.75,0.5,0.25,0.75,0.25,0.5,0.25,0.25,1,69,6,4,0,7,Influence of Europe in the world,Mass immigration
0,0,United Kingdom,,3,6,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.75,0,65,2,3,0,1,The EU single market,The refugee crisis
0,0,United Kingdom,,3,6,0,0,0.25,0.5,0.5,0.25,0.75,0.5,0.75,0.25,0.25,1,79,1,3,0,5,The EU single market,The refugee crisis
