isocntry,period,imp_terror,ref,imm,eu_trust,eu,ref_agree,imm_agree
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,1,1,2,0,1,1
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,2,3,1,1,1,0
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,3,4,2,0,0,0
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,3,4,2,0,0,0
AT,2015-11-01,0,4,3,2,0,0,0
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,3,3,1,1,0,0
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,2,4,1,1,1,0
AT,2015-11-01,1,2,2,2,0,1,1
AT,2015-11-01,0,2,4,2,0,1,0
AT,2015-11-01,0,2,4,2,0,1,0
AT,2015-11-01,0,1,3,1,1,1,0
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,1,1,2,0,1,1
AT,2015-11-01,1,1,2,2,0,1,1
AT,2015-11-01,0,1,3,2,0,1,0
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,3,3,2,0,0,0
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,3,3,2,0,0,0
AT,2015-11-01,0,1,2,2,0,1,1
AT,2015-11-01,0,1,3,2,0,1,0
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,1,2,2,0,1,1
AT,2015-11-01,0,1,1,2,0,1,1
AT,2015-11-01,1,1,2,1,1,1,1
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,1,2,2,0,1,1
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,3,4,1,1,0,0
AT,2015-11-01,0,1,2,2,0,1,1
AT,2015-11-01,0,1,1,1,1,1,1
AT,2015-11-01,1,2,3,2,0,1,0
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,1,1,2,0,1,1
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,3,4,2,0,0,0
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,3,4,2,0,0,0
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,2,3,1,1,1,0
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,1,1,1,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,1,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,1,2,1,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,1,2,0,1,1
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,1,2,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,3,3,2,0,0,0
AT,2015-11-01,0,2,4,2,0,1,0
AT,2015-11-01,0,1,1,1,1,1,1
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,1,2,1,1,1,1
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,1,1,2,0,1,1
AT,2015-11-01,0,1,3,2,0,1,0
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,3,4,2,0,0,0
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,2,3,2,0,1,0
AT,2015-11-01,0,3,2,2,0,0,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,2,2,1,1,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,1,1,1,1,1,1
AT,2015-11-01,0,1,1,1,1,1,1
AT,2015-11-01,0,1,2,2,0,1,1
AT,2015-11-01,0,3,4,2,0,0,0
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,3,2,1,1,0,1
AT,2015-11-01,0,1,1,2,0,1,1
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,3,4,2,0,0,0
AT,2015-11-01,0,2,2,2,0,1,1
AT,2015-11-01,1,4,4,2,0,0,0
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,0,4,4,2,0,0,0
AT,2015-11-01,1,4,1,2,0,0,1
