tr,eu5,imm7,ref2,ref3,ref4,country,germany,name,male,age,edu,income,unemployed,lrscale
0,0.5,1,1,1,1,0,,Austria,0,34,7,,0,0
0,0.8,0.2,0.75,0.75,0.75,0,,Austria,0,20,3,2,1,5
0,0,0.5,0,0.25,0.75,0,,Austria,0,57,2,1,1,5
0,0.5,0.2,0,0,0,0,,Austria,1,28,3,5,0,6
0,0.4,0.7,0.5,0.5,0.75,0,,Austria,0,65,3,5,0,4
0,0.3,0.2,0.25,0,0,0,,Austria,0,61,3,2,0,9
0,0.7,0.7,1,0.25,0.75,0,,Austria,0,39,3,,0,5
0,0.8,0.9,1,1,1,0,,Austria,1,55,7,7,0,2
0,0.5,0.7,0.25,0.25,0.25,0,,Austria,1,76,3,3,0,4
0,0,0.2,0,0.75,0,0,,Austria,0,59,3,8,0,5
0,,0.5,0.25,0.5,0.5,0,,Austria,1,19,3,,0,
0,0.6,0.6,0.5,0.5,0.75,0,,Austria,1,61,7,6,0,6
0,0.6,0.4,0.25,0.25,0.25,0,,Austria,1,74,3,6,0,4
0,0.8,0.8,1,0.75,1,0,,Austria,0,55,5,8,0,2
0,0.4,0.3,0.5,0.25,0.5,0,,Austria,1,23,5,7,0,3
0,0.5,0.4,0,0,0,0,,Austria,0,24,3,2,0,6
0,0.8,0.7,0.5,0.5,0.5,0,,Austria,0,57,3,,0,
0,0.4,0.4,0.5,0.25,0.25,0,,Austria,1,58,7,,0,
0,0.2,0.5,0.5,0.5,0.5,0,,Austria,0,60,3,6,0,9
0,0.9,0.8,0.75,0.75,0.5,0,,Austria,1,20,5,,0,3
0,0.9,0,0.25,0,0.25,0,,Austria,1,74,3,6,0,9
0,0.4,0.3,0,0.25,0,0,,Austria,1,63,3,2,0,1
0,0,0.4,0.25,0.25,0.25,0,,Austria,1,67,4,8,0,6
0,0.3,0.4,0.5,0.25,0.5,0,,Austria,0,56,5,4,0,5
0,0.3,0.4,0.25,0.25,0.25,0,,Austria,0,58,3,5,0,6
0,0.7,0.3,0,0.25,0,0,,Austria,0,35,3,,0,4
0,0,0.4,0.75,0.75,0.5,0,,Austria,0,70,3,6,0,4
